164,sg,Sango,Sango
165,sd,Sindhi,Sindhi
166,se,Northern Sami,Northern Sami
167,sc,Sardinian,Sardinian
168,sa,Sanskrit (Saṁskṛta),Sanskrit
169,sn,Shona,Shona
170,so,Somali,Somali
171,sl,Slovenian,Slovenian
172,sm,Samoan,Samoan
173,sk,Slovak,Slovak
174,si,Sinhala AND  Sinhalese,Sinhala
175,xh,Xhosa,Xhosa
176,yo,Yoruba,Yoruba
177,yi,Yiddish,Yiddish
178,zu,Zulu,Zulu
179,za,Zhuang AND  Chuang,Zhuang
180,fil,Filipino,Filipino
181,zh-TW,Chinese (Traditional),Chinese
182,zh-CN,Chinese (Simplified),Chinese
